address_id,user_id,street_address,city,state,postal_code,country_iso_code,valid_from,valid_to
f6bf993b-4318-4734-842e-115ca3a7b8ee,e1e6cd80-18c9-41ab-bdef-1863593e373f,4878 Park Avenue,Melbourne,VIC,2414,AUS,2024-01-29 00:00:00,
50f09906-2ba3-4599-9323-ff8d1e9a3513,683ece6f-329f-4ece-977d-c0c0ca84068e,4598 Madison Drive,Melbourne,VIC,3518,AUS,2024-04-13 00:00:00,
a6a00afb-52b5-47a3-b227-8d5531739f3d,15e51e79-d39d-4019-8f3f-1b9fcbe32720,1367 Jackson Avenue,San Jose,CA,46434,USA,2024-01-17 00:00:00,
b35f4319-b93f-4973-8fdd-37ae31a26ae4,73075a63-19cd-4aa4-bf42-d9e3ccb3d2de,4089 Pine Road,Columbus,OH,24275,USA,2024-03-30 00:00:00,
5a62d29a-19a6-4e08-ac1d-00e3461eaf07,92df33f0-eb2e-4570-ac5f-febcbde3c047,4446 Maple Drive,Sydney,NSW,7802,AUS,2023-09-03 00:00:00,
455c8300-9189-4f3b-9444-ab8ecfd25b1e,5e301462-7988-4283-bed5-e514f3ca9e12,3277 Park Avenue,Boston,MA,57314,USA,2023-10-14 00:00:00,
5bddaeff-ff05-4a0a-9816-97c5b927fafe,43540bb8-5ea1-47be-ab40-bf79619d8d96,8727 Broadway,Austin,TX,86320,USA,2024-05-03 00:00:00,
f2cee746-aff0-4c0f-8e47-42203707dc08,cb92d2ca-ce0d-4b5d-8b86-94c2796b88f6,4509 Jefferson Road,Columbus,OH,81487,USA,2023-05-25 00:00:00,
3a136f19-f4a8-494d-a354-fc29fac9b660,e3043168-7ae3-4352-92ed-0a16c2688783,1698 Second Avenue,Fort Worth,TX,44973,USA,2023-04-22 00:00:00,
03d30bef-72dd-479c-b5f4-27fe498fb689,3bc1dc59-6748-4ad8-a772-864b4655a4fe,2149 Monroe Lane,Chicago,IL,70383,USA,2023-12-12 00:00:00,
5a8929b1-95cb-4be4-be2c-27f3ca1ccd0c,73296959-c43c-444d-a268-d8c397b8fd90,3927 Washington Street,Vancouver,BC,A8E 4G8,CAN,2024-02-12 00:00:00,
6cfca3aa-5dd0-47fb-a5e2-96c33e71bfd8,b471db98-6e9d-4102-9794-f4dba5096a19,5759 Jackson Avenue,Tokyo,Tokyo,419-3786,JPN,2023-05-25 00:00:00,
ad6db2b3-17d4-4c55-a6fe-e5de1977c4b7,580b2995-4eb0-4812-9311-e0d276a9b571,3132 Pine Road,Austin,TX,31822,USA,2023-05-25 00:00:00,
8f55def5-5ed0-471b-ad2e-0ab2ba15c98a,f5f892b5-cad0-4c3d-9277-70563434c3b6,8365 Second Avenue,Los Angeles,CA,55889,USA,2023-04-11 00:00:00,
ba9fcbc7-34b7-4de7-b5d9-e885a24cefa3,41b7a4a3-7ab5-4c6a-a47d-d23b3d443f4f,9348 Adams Street,San Antonio,TX,85997,USA,2023-11-13 00:00:00,
1cc132cf-6402-4d83-9653-bd74b51d515d,895c7e95-078e-44a7-80de-07d0a82b3f4d,6783 Cedar Lane,San Jose,CA,46159,USA,2023-11-13 00:00:00,
a2d83f99-48fc-4588-af30-628aa93764b0,6e5372a3-eea6-485b-aeeb-c484262eb425,7462 Maple Drive,Sydney,NSW,2975,AUS,2023-03-02 00:00:00,
9c49dfb4-1d4e-4183-8914-45a0962c78f8,20d178bf-ea3c-448b-834c-87b774657b70,2932 Van Buren Road,Toronto,ON,G6I 4J2,CAN,2023-09-01 00:00:00,
94537608-f71b-4b34-8614-13d0faabfe38,fddb9890-f5d5-44e9-88dc-f236b5e36f41,4511 Washington Street,Austin,TX,11046,USA,2023-06-10 00:00:00,
39273c62-ae2f-4bab-a8bb-91eae6c9bc81,5a8af5f4-c5de-43d5-be2b-753a488e6bd9,3536 Second Avenue,Indianapolis,IN,58846,USA,2024-01-06 00:00:00,
43554b25-c128-4bf2-a8cd-5a5e1e75143f,58022d49-4983-4edd-9f75-5fa5b2df7611,3868 Van Buren Road,Vancouver,BC,J3G 8J3,CAN,2024-04-21 00:00:00,
3723b0ad-e2f6-4ad9-8594-178de2d071f6,e19dbf3c-2839-4901-923c-6a32c1e17f93,8288 Park Avenue,San Jose,CA,85149,USA,2024-01-26 00:00:00,
d2b408d5-6805-4b78-9e8b-1c36c53bea9a,02b8c762-3c32-43f6-8ed8-d4bde095039b,2168 Lincoln Avenue,Jacksonville,FL,85056,USA,2023-04-06 00:00:00,
4f44e3a5-ff76-4eca-85f7-10f8ed0800f3,653abce2-3968-4576-9ba7-03b2172355d4,4202 Adams Street,Jacksonville,FL,13689,USA,2023-03-18 00:00:00,
c7989dca-cbc5-43a5-9210-e9ff5fc217be,42e52033-115f-4143-a205-13baae8a5cad,8627 Adams Street,Jacksonville,FL,70550,USA,2024-04-27 00:00:00,
