id,user_id,order_date,status
1,1,2018-01-01,returned
2,3,2018-01-02,completed
3,94,2018-01-04,completed
4,50,2018-01-05,completed
5,64,2018-01-05,completed
6,54,2018-01-07,completed
7,88,2018-01-09,completed
8,2,2018-01-11,returned
9,53,2018-01-12,completed
10,7,2018-01-14,completed
11,99,2018-01-14,completed
12,59,2018-01-15,completed
13,84,2018-01-17,completed
14,40,2018-01-17,returned
15,25,2018-01-17,completed
16,39,2018-01-18,completed
17,71,2018-01-18,completed
18,64,2018-01-20,returned
19,54,2018-01-22,completed
20,20,2018-01-23,completed
21,71,2018-01-23,completed
22,86,2018-01-24,completed
23,22,2018-01-26,return_pending
24,3,2018-01-27,completed
25,51,2018-01-28,completed
26,32,2018-01-28,completed
27,94,2018-01-29,completed
28,8,2018-01-29,completed
29,57,2018-01-31,completed
30,69,2018-02-02,completed
31,16,2018-02-02,completed
32,28,2018-02-04,completed
33,42,2018-02-04,completed
34,38,2018-02-06,completed
35,80,2018-02-08,completed
36,85,2018-02-10,completed
37,1,2018-02-10,completed
38,51,2018-02-10,completed
39,26,2018-02-11,completed
40,33,2018-02-13,completed
41,99,2018-02-14,completed
42,92,2018-02-16,completed
43,31,2018-02-17,completed
44,66,2018-02-17,completed
45,22,2018-02-17,completed
46,6,2018-02-19,completed
47,50,2018-02-20,completed
48,27,2018-02-21,completed
49,35,2018-02-21,completed
50,51,2018-02-23,completed
51,71,2018-02-24,completed
52,54,2018-02-25,return_pending
53,34,2018-02-26,completed
54,54,2018-02-26,completed
55,18,2018-02-27,completed
56,79,2018-02-28,completed
57,93,2018-03-01,completed
58,22,2018-03-01,completed
59,30,2018-03-02,completed
60,12,2018-03-03,completed
61,63,2018-03-03,completed
62,57,2018-03-05,completed
63,70,2018-03-06,completed
64,13,2018-03-07,completed
65,26,2018-03-08,completed
66,36,2018-03-10,completed
67,79,2018-03-11,completed
68,53,2018-03-11,completed
69,3,2018-03-11,completed
70,8,2018-03-12,completed
71,42,2018-03-12,shipped
72,30,2018-03-14,shipped
73,19,2018-03-16,completed
74,9,2018-03-17,shipped
75,69,2018-03-18,completed
76,25,2018-03-20,completed
77,35,2018-03-21,shipped
78,90,2018-03-23,shipped
79,52,2018-03-23,shipped
80,11,2018-03-23,shipped
81,76,2018-03-23,shipped
82,46,2018-03-24,shipped
83,54,2018-03-24,shipped
84,70,2018-03-26,placed
85,47,2018-03-26,shipped
86,68,2018-03-26,placed
87,46,2018-03-27,placed
88,91,2018-03-27,shipped
89,21,2018-03-28,placed
90,66,2018-03-30,shipped
91,47,2018-03-31,placed
92,84,2018-04-02,placed
93,66,2018-04-03,placed
94,63,2018-04-03,placed
95,27,2018-04-04,placed
96,90,2018-04-06,placed
97,89,2018-04-07,placed
98,41,2018-04-07,placed
99,85,2018-04-09,placed
100,12,2018-05-01,completed
101,25,2018-05-02,completed
102,43,2018-05-03,completed
103,67,2018-05-04,shipped
104,89,2018-05-05,completed
105,15,2018-06-01,completed
106,34,2018-06-02,shipped
107,78,2018-06-03,completed
108,56,2018-06-04,completed
109,91,2018-06-05,shipped
110,23,2018-07-01,completed
111,45,2018-07-02,completed
112,67,2018-07-03,shipped
113,89,2018-07-04,completed
114,12,2018-07-05,returned
115,34,2018-08-01,completed
116,56,2018-08-02,shipped
117,78,2018-08-03,completed
118,90,2018-08-04,completed
119,13,2018-08-05,placed
120,35,2018-09-01,completed
121,57,2018-09-02,completed
122,79,2018-09-03,shipped
123,91,2018-09-04,completed
124,14,2018-09-05,placed
125,36,2018-10-01,completed
126,58,2018-10-02,shipped
127,80,2018-10-03,completed
128,92,2018-10-04,placed
129,15,2018-10-05,completed
130,37,2018-11-01,completed
131,59,2018-11-02,shipped
132,81,2018-11-03,completed
133,93,2018-11-04,placed
134,16,2018-11-05,completed
135,38,2018-12-01,completed
136,60,2018-12-02,shipped
137,82,2018-12-03,completed
138,94,2018-12-04,placed
139,17,2018-12-05,completed
140,39,2019-01-01,completed
141,61,2019-01-02,shipped
142,83,2019-01-03,completed
143,95,2019-01-04,placed
144,18,2019-01-05,completed
145,40,2019-02-01,completed
146,62,2019-02-02,shipped
147,84,2019-02-03,completed
148,96,2019-02-04,placed
149,19,2019-02-05,completed
150,41,2020-01-01,completed
151,63,2020-01-02,shipped
152,85,2020-01-03,completed
153,97,2020-01-04,placed
154,20,2020-01-05,completed
155,42,2020-02-01,completed
156,64,2020-02-02,shipped
157,86,2020-02-03,completed
158,98,2020-02-04,placed
159,21,2020-02-05,completed
160,43,2020-03-01,completed
161,65,2020-03-02,shipped
162,87,2020-03-03,completed
163,99,2020-03-04,placed
164,22,2020-03-05,completed
165,44,2020-04-01,completed
166,66,2020-04-02,shipped
167,88,2020-04-03,completed
168,90,2020-04-04,placed
169,23,2020-04-05,completed
