id,customer_id,plan_id,date
1,1,5,2023-10-09
2,2,4,2023-08-22
3,3,2,2023-02-04
4,4,5,2023-08-09
5,5,1,2023-04-21
6,6,3,2023-12-24
7,7,2,2023-09-21
8,8,2,2023-03-01
9,9,4,2023-06-23
10,10,4,2023-08-19
11,11,3,2023-03-04
12,12,1,2023-08-06
13,13,5,2023-11-21
14,14,1,2023-11-15
15,15,1,2023-05-05
16,16,4,2023-11-04
17,17,1,2023-02-13
18,18,2,2023-04-18
19,19,1,2023-11-15
20,20,3,2023-03-11
21,21,4,2023-11-19
22,22,3,2023-11-06
23,23,1,2023-12-16
24,24,2,2023-12-04
25,25,1,2023-01-03
26,26,1,2023-08-26
27,27,1,2023-09-13
28,28,4,2023-12-16
29,29,5,2023-05-23
30,30,2,2023-07-29
31,31,4,2023-12-30
32,32,1,2023-11-13
33,33,5,2023-07-05
34,34,3,2023-11-07
35,35,2,2023-12-16
36,36,5,2023-11-12
37,37,5,2023-03-15
38,38,5,2023-05-26
39,39,2,2023-05-03
40,40,3,2023-04-30
41,41,4,2023-02-21
42,42,1,2023-12-04
43,43,2,2023-04-18
44,44,3,2023-07-15
45,45,1,2023-12-24
46,46,5,2023-12-27
47,47,4,2023-07-24
48,48,3,2023-09-13
49,49,5,2023-03-18
50,50,4,2023-01-06
51,51,1,2023-01-16
52,52,3,2023-08-09
53,53,2,2023-06-14
54,54,3,2023-03-01
55,55,2,2023-12-13
56,56,5,2023-10-27
57,57,1,2023-06-18
58,58,3,2023-08-02
59,59,2,2023-11-25
60,60,2,2023-05-30
61,61,5,2023-11-17
62,62,5,2023-11-22
63,63,4,2023-09-16
64,64,1,2023-08-22
65,65,4,2023-07-16
66,66,5,2023-02-20
67,67,5,2023-01-04
68,68,1,2023-12-05
69,69,1,2023-03-07
70,70,2,2023-04-14
71,71,5,2023-07-07
72,72,1,2023-07-25
73,73,5,2023-12-14
74,74,5,2023-08-14
75,75,4,2023-04-29
76,76,5,2023-11-25
77,77,1,2023-11-14
78,78,1,2023-05-21
79,79,1,2023-05-10
80,80,1,2023-10-27
81,81,2,2023-05-11
82,82,5,2023-09-21
83,83,4,2023-11-04
84,84,3,2023-04-17
85,85,4,2023-01-05
86,86,5,2023-08-23
87,87,1,2023-03-08
88,88,5,2023-04-22
89,89,5,2023-10-26
90,90,2,2023-05-01
91,91,5,2023-05-11
92,92,3,2023-05-20
93,93,4,2023-10-02
94,94,5,2023-09-23
95,95,1,2023-10-12
96,96,4,2023-07-06
97,97,5,2023-06-08
98,98,2,2023-07-03
99,99,5,2023-08-11
100,100,3,2023-08-16
101,101,1,2023-11-24
